champlain, flathead, goose, great_salt_lake, lower_red, manitoba, marion, mcconaugh, mead, mille_lacs_lake, mono, moultrie, nipigon, okeechobee, oneida, pontchartrain, sakakawea, salton_sea, sebago, tahoe, upper_klamath, winnebago, winnipesaukee
20181101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181104, 0, 0, 0, 0, 0, 0.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181108, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181109, 0, 0, 0, 0, 0.01, 0.19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181110, 0, 0, 0, 0, 0.37, 0.68, 0, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181111, 0, 0, 0, 0, 0.83, 1, 0, 0, 0, 0.34, 0, 0, 0.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181112, 0, 0, 0, 0, 0.95, 1, 0, 0, 0, 0.47, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181113, 0, 0, 0, 0, 0.97, 1, 0, 0, 0, 0.77, 0, 0, 0.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181114, 0, 0, 0, 0, 0.99, 1, 0, 0, 0, 1, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20181115, 0.02, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.13, 0, 0, 0, 0, 0, 0, 0, 0, 0.03, 0
20181116, 0.05, 0, 0, 0, 0.97, 1, 0, 0, 0, 0.99, 0, 0, 0.12, 0, 0.02, 0, 0, 0, 0, 0, 0, 0.04, 0
20181117, 0.06, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.12, 0, 0.03, 0, 0.01, 0, 0, 0, 0, 0, 0
20181118, 0.05, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.16, 0, 0.02, 0, 0.18, 0, 0, 0, 0, 0, 0
20181119, 0.05, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.18, 0, 0.04, 0, 0.3, 0, 0, 0, 0, 0.06, 0
20181120, 0.05, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.2, 0, 0.04, 0, 0.54, 0, 0, 0, 0, 0.15, 0
20181121, 0.06, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.28, 0, 0.05, 0, 0.44, 0, 0, 0, 0, 0.26, 0
20181122, 0.07, 0, 0, 0.01, 1, 1, 0, 0, 0, 1, 0, 0, 0.4, 0, 0.09, 0, 0.18, 0, 0, 0, 0, 0.38, 0
20181123, 0.13, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.45, 0, 0.18, 0, 0.16, 0, 0, 0, 0, 0.51, 0
20181124, 0.16, 0, 0, 0, 1, 1, 0, 0, 0, 0.9, 0, 0, 0.35, 0, 0.23, 0, 0.11, 0, 0, 0, 0, 0.1, 0
20181125, 0.16, 0, 0, 0, 1, 1, 0, 0, 0, 0.82, 0, 0, 0.27, 0, 0.21, 0, 0.13, 0, 0, 0, 0, 0, 0
20181126, 0.13, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0.35, 0, 0.18, 0, 0.26, 0, 0, 0, 0, 0, 0
