# produced via um-jtti-ufs/scripts/x_lwdepths.R
                       ctl        glo      glo2m
champlain        41.954598  28.076810  28.076810
flathead         50.200001   2.842501   3.141131
goose             4.000000   3.332120   3.425933
great_salt_lake   3.000000   4.382068   4.497156
lower_red         4.500000   4.167796   4.241745
manitoba          5.000000   2.372844   2.890900
marion           50.000000  11.957809  11.957809
mcconaugh        20.000000  15.549733  15.549733
mead             80.000000  58.235997  58.235997
mille_lacs_lake   5.500000   4.462341   4.574347
mono             16.500000  15.872298  15.872298
moultrie         50.000000  18.964700  18.964700
nipigon          55.087468  36.595276  36.595276
okeechobee        2.700000   1.311168   2.134922
oneida           50.000000  19.489763  19.489763
pontchartrain    50.000000   6.558081   6.629905
sakakawea        27.000000  13.196025  13.196025
salton_sea        9.400001   5.353869   5.393388
sebago           33.000000   6.764268   6.764268
tahoe           312.600006 190.093747 190.093747
upper_klamath    10.200000   7.636342   7.636342
winnebago         7.000000   2.273735   2.658108
winnipesaukee    32.000000   9.411396   9.411396

