name	id	area_km	lat
Champlain	165	1084.1	44.63
Flathead	375	487.6	47.89
Goose	464	391.4	41.95
Great_Salt	26	5965.8	41.17
Lower_Red	NA	NA	48.04
Manitoba	37	4790.9	50.55
Marion	556	333.7	33.48
McConaughy	1507	122.1	41.25
Mead	278	642.2	36.14
Mille_Lacs	366	496.3	46.25
Mono	883	212	38.01
Moultrie	824	227.7	33.31
Nipigon	38	4476.9	49.83
Okeechobee	114	1436.8	26.95
Oneida	905	206.7	43.21
Pontchartrain	NA	NA	30.19
Sakakawea	110	1492	47.75
Salton_Sea	194	929	33.32
Sebago	1498	122.6	43.86
Tahoe	380	484.7	39.1
Upper_Klamath	559	330.8	42.43
Winnebago	340	526.1	44.02
Winnipesaukee	999	186.7	43.61
