great_salt_lake champlain winnebago salton_sea manitoba pontchartrain lower_red okeechobee tahoe oneida flathead mille_lacs_lake sebago winnipesaukee mono goose marion moultrie sakakawea mead upper_klamath mcconaugh nipigon
20190101 0.1 2.7 NA 13.1 NA NA NA 22.8 6.1 NA NA NA 2.7 NA 1.7 NA NA 12.7 NA NA NA NA NA
20190102 0.3 1.8 NA 12.8 NA NA NA 22.3 6.1 NA NA NA 2.1 NA 2.2 NA NA NA 0.3 NA 0.2 NA NA
20190103 0.2 NA NA 12.7 NA NA NA 21.2 5.5 NA NA NA 1.9 NA 2.3 NA NA NA NA NA NA NA NA
20190104 NA 3.2 NA 12.6 NA NA NA 22.6 4.7 NA NA NA 2.7 NA 1.5 NA NA NA 0.3 NA NA NA NA
20190105 NA NA NA NA NA NA NA 22.8 3.6 NA NA NA NA NA NA 0.3 12.1 12 NA NA NA NA NA
20190106 NA NA NA 11.3 NA NA NA 20.5 NA NA NA NA NA NA 2.1 NA 12 12.1 NA NA NA NA NA
20190107 NA NA NA 10.8 NA NA NA 20.8 4.8 NA NA NA 1.5 NA 1.2 NA 12.3 12.3 0.4 NA NA NA NA
20190108 0.3 1.5 NA 11.7 NA NA NA 21.3 NA NA 1.2 NA NA NA NA NA 12.1 10.8 0.2 NA NA NA NA
20190109 0.4 NA NA 13.6 NA NA NA NA NA NA NA NA NA NA 0.7 NA 12.7 12.8 NA NA 0.6 NA NA
20190110 NA NA NA 13.6 NA NA NA 18.4 5.5 NA 2.4 NA NA NA 2.5 NA 11 11 NA NA NA NA NA
20190111 NA 1.6 NA 11.7 NA NA NA 17.5 1.5 NA NA NA 1.1 NA NA NA 10.5 10.4 NA NA NA NA NA
20190112 NA 1.5 NA 14 NA NA NA 17.7 NA NA NA NA 1.1 NA 1.9 NA NA NA NA NA 0.7 NA NA
20190113 NA 1.1 NA 13.5 NA NA NA 20.9 5.7 NA NA NA 0.6 NA 1.8 NA NA NA NA NA 0.5 NA NA
20190114 0.3 NA NA NA NA NA NA 18.5 2.9 NA NA NA 0.5 NA NA NA NA NA NA NA 0.4 NA NA
20190115 NA NA NA NA NA NA NA 17.9 NA NA NA NA NA NA 0.8 NA NA NA NA NA 0.1 NA NA
20190116 0.3 1.2 NA NA NA NA NA 16.5 2.4 NA NA NA 0.7 NA 0.7 NA 9.3 10.1 NA NA NA NA NA
